championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
37th National Games Goa,Compound Men Individual,Semi Final,Rajat Chauhan,Rajasthan,148,Parth KORDE,Maharashtra,143,Rajat Chauhan
37th National Games Goa,Compound Men Individual,Final,Ritik Chahal,Delhi,149,Rajat Chauhan,Rajasthan,145,Ritik Chahal
37th National Games Goa,Compound Men Individual,Winner,Ritik Chahal,Delhi,,,,,
37th National Games Goa,Compound Men Individual,Quarter Final,,,144,,,143,
37th National Games Goa,Inidan Round Women Individual,Quarter Final,Chandmuni Kunkal,Jharkhand,2,TUTUMONI BORO,Assam,6,TUTUMONI BORO
37th National Games Goa,Inidan Round Women Individual,Quarter Final,Laiphrakpam Devi,Manipur,7,Harpreet Kaur,Rajasthan,3,Laiphrakpam Devi
37th National Games Goa,Inidan Round Women Individual,Quarter Final,Chhavi Rana,Uttar Pradesh,2,Keisham Devi,Manipur,6,Keisham Devi
37th National Games Goa,Inidan Round Women Individual,Quarter Final,Wangkhem Devi,Manipur,6,Laishram Devi,Manipur,4,Wangkhem Devi
37th National Games Goa,Inidan Round Women Individual,Semi Final,Laiphrakpam Devi,Manipur,5,TUTUMONI BORO,Assam,6,TUTUMONI BORO
37th National Games Goa,Inidan Round Women Individual,Semi Final,Wangkhem Devi,Manipur,7,Keisham Devi,Manipur,1,Wangkhem Devi
37th National Games Goa,Inidan Round Women Individual,Final,Wangkhem Devi,Manipur,0,TUTUMONI BORO,Assam,6,TUTUMONI BORO
37th National Games Goa,Inidan Round Women Individual,Winner,TUTUMONI BORO,Assam,,,,,
37th National Games Goa,Inidan Round Women Individual,Quarter Final,,,0,,,6,
37th National Games Goa,Indian Round Men Individual,Quarter Final,Yogendra Hessa,Jharkhand,0,NIRBHAY SINGH,Bihar,6,NIRBHAY SINGH
37th National Games Goa,Indian Round Men Individual,Quarter Final,Gemmeli Naidu,Andhra Pradesh,6,Sonu,Haryana,0,Gemmeli Naidu
37th National Games Goa,Indian Round Men Individual,Quarter Final,DASARATH RAJAGOPAL,Kerala,7,JAY PRAKASH,Bihar,3,DASARATH RAJAGOPAL
37th National Games Goa,Indian Round Men Individual,Quarter Final,ARUN BARO,Assam,3,SAURABH MAURYA,Uttar Pradesh,7,SAURABH MAURYA
37th National Games Goa,Indian Round Men Individual,Semi Final,Gemmeli Naidu,Andhra Pradesh,6,NIRBHAY SINGH,Bihar,2,Gemmeli Naidu
37th National Games Goa,Indian Round Men Individual,Semi Final,SAURABH MAURYA,Uttar Pradesh,6,DASARATH RAJAGOPAL,Kerala,2,SAURABH MAURYA
37th National Games Goa,Indian Round Men Individual,Final,SAURABH MAURYA,Uttar Pradesh,4,Gemmeli Naidu,Andhra Pradesh,6,Gemmeli Naidu
37th National Games Goa,Indian Round Men Individual,Winner,Gemmeli Naidu,Andhra Pradesh,,,,,
37th National Games Goa,Indian Round Men Individual,Quarter Final,,,7,,,3,
37th National Games Goa,Indian Round Men Team,Quarter Final,Chhattisgarh,Chhattisgarh,5,Jharkhand,Jharkhand,1,Chhattisgarh
37th National Games Goa,Indian Round Men Team,Quarter Final,Haryana,Haryana,4,Services Sports Control Board,Services Sports Control Board,5,Services Sports Control Board
37th National Games Goa,Indian Round Men Team,Quarter Final,Bihar,Bihar,0,Maharashtra,Maharashtra,6,Maharashtra
37th National Games Goa,Indian Round Men Team,Quarter Final,Assam,Assam,6,Goa,Goa,0,Assam
37th National Games Goa,Indian Round Men Team,Semi Final,Haryana,Haryana,5,Jharkhand,Jharkhand,1,Haryana
37th National Games Goa,Indian Round Men Team,Semi Final,Assam,Assam,5,Maharashtra,Maharashtra,3,Assam
37th National Games Goa,Indian Round Men Team,Final,Assam,Assam,5,Haryana,Haryana,4,Assam
37th National Games Goa,Indian Round Men Team,Winner,,,,,,,
37th National Games Goa,Indian Round Men Team,Quarter Final,Maharashtra,Maharashtra,1,Chhattisgarh,Chhattisgarh,5,Chhattisgarh
37th National Games Goa,Compound Men Team,Quarter Final,Uttarakhand,Uttarakhand,222,Haryana,Haryana,233,Haryana
37th National Games Goa,Compound Men Team,Quarter Final,Maharashtra,Maharashtra,236,Uttar Pradesh,Uttar Pradesh,224,Maharashtra
37th National Games Goa,Compound Men Team,Quarter Final,Goa,Goa,228,Rajasthan,Rajasthan,232,Rajasthan
37th National Games Goa,Compound Men Team,Quarter Final,Delhi,Delhi,229,Chandigarh,Chandigarh,224,Delhi
37th National Games Goa,Compound Men Team,Semi Final,Maharashtra,Maharashtra,238,Haryana,Haryana,235,Maharashtra
37th National Games Goa,Compound Men Team,Semi Final,Delhi,Delhi,231,Rajasthan,Rajasthan,230,Delhi
37th National Games Goa,Compound Men Team,Final,Delhi,Delhi,228,Maharashtra,Maharashtra,224,Delhi
37th National Games Goa,Compound Men Team,Winner,,,,,,,
37th National Games Goa,Compound Men Team,Quarter Final,Rajasthan,Rajasthan,231,Haryana,Haryana,230,Rajasthan
37th National Games Goa,Recurve Men Team,Quarter Final,Chhattisgarh,Chhattisgarh,1,Jharkhand,Jharkhand,5,Jharkhand
37th National Games Goa,Recurve Men Team,Quarter Final,Services Sports Control Board,Services Sports Control Board,5,Haryana,Haryana,3,Services Sports Control Board
37th National Games Goa,Recurve Men Team,Quarter Final,Assam,Assam,5,Punjab,Punjab,4,Assam
37th National Games Goa,Recurve Men Team,Quarter Final,Maharashtra,Maharashtra,6,Goa,Goa,0,Maharashtra
37th National Games Goa,Recurve Men Team,Semi Final,Services Sports Control Board,Services Sports Control Board,1,Jharkhand,Jharkhand,5,Jharkhand
37th National Games Goa,Recurve Men Team,Semi Final,Maharashtra,Maharashtra,5,Assam,Assam,3,Maharashtra
37th National Games Goa,Recurve Men Team,Final,Maharashtra,Maharashtra,6,Jharkhand,Jharkhand,2,Maharashtra
37th National Games Goa,Recurve Men Team,Winner,,,,,,,
37th National Games Goa,Recurve Men Team,Quarter Final,Assam,Assam,5,Services Sports Control Board,Services Sports Control Board,3,Assam
37th National Games Goa,Compound Women Team,Quarter Final,Goa,Goa,210,Maharashtra,Maharashtra,232,Maharashtra
37th National Games Goa,Compound Women Team,Quarter Final,Punjab,Punjab,228,Andhra Pradesh,Andhra Pradesh,226,Punjab
37th National Games Goa,Compound Women Team,Quarter Final,Uttar Pradesh,Uttar Pradesh,223,Madhya Pradesh,Madhya Pradesh,228,Madhya Pradesh
37th National Games Goa,Compound Women Team,Quarter Final,Rajasthan,Rajasthan,229,Gujarat,Gujarat,223,Rajasthan
37th National Games Goa,Compound Women Team,Semi Final,Punjab,Punjab,228,Maharashtra,Maharashtra,224,Punjab
37th National Games Goa,Compound Women Team,Semi Final,Rajasthan,Rajasthan,231,Madhya Pradesh,Madhya Pradesh,230,Rajasthan
37th National Games Goa,Compound Women Team,Final,Rajasthan,Rajasthan,228,Punjab,Punjab,213,Rajasthan
37th National Games Goa,Compound Women Team,Winner,,,,,,,
37th National Games Goa,Compound Women Team,Quarter Final,Maharashtra,Maharashtra,226,Madhya Pradesh,Madhya Pradesh,222,Maharashtra
